id	org	prod0	prod1	prod2	prod3	prod4	prod5	prod6	prod7	prod8	prod9	sales	daysLate
264	b	59	7	3	5	24	40	78	23	5	6	250	26
265	g	44	4	3	22	18	30	58	37	1	1	218	17
266	b	49	12	3	21	14	41	63	24	3	5	235	19
267	g	41	12	5	20	25	14	51	46	3	5	222	13
268	b	38	4	3	38	24	26	72	35	3	7	250	8
269	g	13	5	3	36	15	34	65	31	3	7	212	28
270	b	28	5	1	40	16	22	45	37	3	1	198	44
271	b	72	11	3	17	34	40	50	19	2	8	256	2
272	b	31	11	2	23	27	30	60	42	1	2	229	6
273	g	19	12	4	21	13	38	57	22	3	6	195	12
274	g	13	4	4	22	33	32	36	20	1	6	171	1
275	g	64	6	4	12	23	30	66	9	4	5	223	41
276	b	73	8	2	15	26	37	90	35	5	8	299	10
277	g	37	9	4	34	22	38	66	44	2	2	258	6
278	g	11	8	4	24	26	24	35	35	1	6	174	23
279	g	7	8	2	31	24	26	79	25	2	6	210	75
280	b	36	10	2	14	20	46	54	29	4	5	220	27
281	g	9	11	4	42	33	27	32	30	2	3	193	36
282	g	74	5	3	3	26	40	64	8	2	11	236	21
283	g	10	9	4	21	22	37	79	26	1	3	212	15
284	b	62	4	4	20	23	33	85	16	2	5	254	7
285	b	24	10	5	31	28	23	44	34	1	6	206	1
286	g	27	6	4	37	19	23	58	31	3	3	211	78
287	b	53	9	3	11	20	37	39	27	3	8	210	6
288	g	6	7	4	21	34	10	43	42	2	3	172	23
289	g	29	8	5	24	33	28	62	28	1	6	224	5
290	g	29	5	4	25	15	40	89	46	2	7	262	10
291	g	13	7	2	36	22	34	34	46	3	6	203	55
292	b	69	7	1	22	21	30	64	29	2	7	252	1
293	g	23	5	5	30	20	9	53	47	1	3	196	28
294	g	23	6	4	24	28	28	72	29	3	3	220	14
295	g	8	8	3	24	25	40	38	42	2	6	196	6
296	g	43	5	5	28	25	20	37	41	3	6	213	37
297	b	38	11	3	3	24	53	88	15	4	5	244	15
298	b	28	4	3	24	19	26	43	23	2	4	176	13
299	g	10	5	4	31	32	36	42	42	1	1	204	74
300	b	39	6	4	2	32	31	86	22	4	6	232	6
301	b	75	12	3	20	16	45	46	31	3	9	260	22
302	g	11	4	2	32	37	32	51	32	2	2	205	88
303	b	48	9	4	10	25	38	47	21	4	10	216	0
304	g	18	11	4	35	25	14	60	26	3	1	197	62
305	b	75	6	3	6	29	47	52	33	3	7	261	16
306	g	16	12	3	34	31	36	41	25	2	3	203	18
307	g	32	6	2	41	20	25	62	47	3	7	245	19
308	g	40	8	2	34	16	38	89	28	1	4	260	29
309	g	10	10	3	22	14	27	39	37	0	2	164	29
310	g	13	6	3	42	29	34	49	25	1	3	205	27
311	g	37	8	4	25	36	30	58	34	3	3	238	14
312	b	5	9	5	38	37	15	55	25	1	6	196	81
313	b	63	10	4	22	34	28	69	21	2	5	258	24
314	g	20	12	2	41	27	31	53	30	1	7	224	10
315	g	32	11	3	32	16	36	35	42	1	2	210	21
316	g	43	5	3	32	33	15	54	24	3	6	218	13
317	b	48	10	4	10	25	39	39	28	4	8	215	15
318	g	35	9	5	41	26	27	90	47	2	5	287	2
319	b	60	6	4	3	31	47	69	11	2	9	242	53
320	b	47	4	4	14	21	36	50	27	2	6	211	12
321	g	6	8	5	21	13	26	48	43	3	2	175	0
322	g	12	11	3	36	31	35	71	35	3	7	244	5
323	g	7	8	5	40	26	26	84	44	1	6	247	5
324	b	7	13	5	42	13	40	31	38	1	6	196	8
325	g	5	8	3	20	20	27	31	35	1	3	153	10
326	g	36	7	4	33	28	27	51	36	3	3	228	12
327	g	9	9	3	22	12	28	59	21	2	4	169	7
328	g	43	12	1	33	17	13	48	28	1	2	198	8
329	b	57	9	5	10	22	23	32	23	2	11	194	5
330	b	43	5	4	30	37	10	63	46	1	5	244	20
331	g	35	5	4	28	35	31	67	32	3	4	244	16
332	b	30	12	1	38	14	30	80	47	2	5	259	63
333	b	53	10	4	17	30	30	47	17	4	8	220	25
334	b	17	8	5	24	33	39	47	26	1	6	206	3
335	b	56	8	4	2	28	38	31	24	4	8	203	2
336	b	18	13	1	40	20	15	58	30	1	4	200	26
337	b	71	8	4	6	30	23	51	28	4	8	233	51
338	b	51	5	3	7	35	41	56	25	4	6	233	10
339	g	25	10	3	38	32	19	43	26	1	3	200	23
340	b	49	5	2	5	25	45	73	10	3	11	228	20
341	g	13	9	5	27	33	35	36	36	2	1	197	39
342	b	47	7	4	17	21	44	77	25	2	9	253	28
343	b	49	4	4	20	13	42	40	29	5	8	214	21
344	g	28	9	2	30	37	28	38	29	2	1	204	15
345	g	26	7	5	23	31	23	71	36	1	1	224	0
346	g	42	7	3	24	12	17	56	25	1	1	188	23
347	g	7	12	4	40	27	35	39	42	3	6	215	14
348	g	24	12	5	20	21	10	79	32	3	6	212	14
349	b	26	11	5	24	27	23	73	28	2	3	222	21
350	b	47	13	3	10	25	44	38	35	4	9	228	6
351	g	19	4	4	20	34	21	52	36	2	6	198	24
352	g	4	10	5	31	37	40	37	46	2	3	215	46
353	b	44	4	2	23	21	41	72	10	2	10	229	28
354	g	4	9	2	41	26	18	48	31	2	6	187	18
355	g	44	13	4	25	27	14	54	43	3	4	231	16
356	g	7	7	4	23	27	37	68	39	2	2	216	12
357	g	11	7	2	29	34	26	56	25	2	1	193	12
358	g	19	9	3	29	13	22	54	38	1	2	190	30
359	b	44	5	3	23	22	28	88	31	4	7	255	27
360	g	4	7	4	23	30	27	66	22	1	7	191	38
361	b	73	11	4	22	13	24	44	16	2	10	219	22
362	g	11	6	3	33	35	16	75	29	2	2	212	16
363	b	34	7	1	21	35	39	34	28	1	6	206	16
364	g	32	10	3	25	30	39	66	45	3	6	259	67
365	b	69	10	3	23	12	38	47	16	4	11	233	18
366	g	21	5	5	34	28	40	69	43	3	3	251	13
367	g	7	5	2	39	33	28	86	20	1	2	223	21
368	b	37	9	5	31	23	11	43	45	3	2	209	1
369	g	7	9	4	23	32	14	45	27	3	6	170	2
370	b	18	7	3	39	31	37	81	25	3	4	248	11
371	b	43	8	4	22	14	16	91	40	1	6	245	72
372	b	53	11	4	22	16	43	67	10	4	5	235	12
373	g	17	13	3	34	13	22	43	35	1	4	185	21
374	b	27	9	4	28	28	13	49	22	2	6	188	18
375	b	54	7	2	23	33	22	37	31	3	11	223	25
376	b	74	4	3	8	24	38	84	31	5	5	276	10
377	b	45	11	2	6	27	38	52	24	3	9	217	29
378	b	62	8	5	12	13	40	36	13	4	10	203	5
379	g	48	4	3	18	20	26	73	35	4	10	241	7
380	g	7	6	1	31	15	33	85	21	2	5	206	17
381	g	38	12	2	27	27	39	86	24	2	5	262	0
382	g	15	9	2	25	16	33	77	38	3	4	222	8
383	b	51	6	2	20	29	49	90	16	4	7	274	27
384	g	7	10	2	37	14	18	69	40	2	6	205	0
385	g	39	7	3	41	17	29	65	40	3	6	250	26
386	g	17	8	5	25	24	12	55	28	2	1	177	64
387	b	67	7	3	7	17	40	58	12	2	8	221	62
388	b	71	11	5	11	22	25	78	21	4	5	253	14
389	g	36	10	4	24	34	30	44	35	1	6	224	19
390	g	25	8	3	23	34	11	66	30	0	4	204	56
391	b	52	7	3	11	20	39	70	17	3	8	230	15
392	b	19	10	3	22	16	35	45	26	3	5	184	16
393	b	74	6	3	16	28	31	65	9	2	5	239	0
394	g	10	13	3	20	13	27	61	23	2	6	178	19
395	g	35	9	4	32	22	14	74	29	1	3	223	10
396	g	24	10	3	24	15	34	89	31	2	1	233	11
397	g	39	8	5	23	30	20	41	25	2	6	199	12
398	g	24	10	3	22	14	13	41	29	1	6	163	28
399	g	34	5	2	28	24	31	72	28	1	3	228	26
400	g	28	5	2	27	13	31	88	46	1	7	248	5
401	g	37	12	4	42	24	11	31	23	1	5	190	6
402	b	59	4	5	9	13	31	70	21	3	6	221	13
403	g	27	6	2	20	31	29	64	25	1	1	206	21
404	g	40	8	3	28	34	26	67	45	2	5	258	5
405	g	34	8	5	28	34	24	64	27	3	4	231	20
406	g	27	4	2	34	21	24	44	26	2	5	189	33
407	b	66	4	4	2	28	32	38	30	3	11	218	15
408	g	31	10	5	33	32	21	77	44	3	6	262	30
409	b	39	12	3	20	33	37	68	20	3	7	242	15
410	g	39	12	4	40	32	18	70	44	2	2	263	0
411	g	15	11	3	34	17	31	67	31	3	6	218	7
412	b	46	12	3	21	28	25	82	20	4	7	248	13
413	g	42	7	4	42	31	14	37	41	2	6	226	83
414	b	64	5	3	13	28	24	49	18	3	8	215	18
415	g	24	10	2	38	34	11	38	32	3	4	196	10
416	g	29	5	2	21	28	16	40	40	3	3	187	28
417	g	42	9	4	38	19	24	34	20	2	5	197	35
418	b	72	10	5	3	16	47	34	16	2	8	213	54
419	b	50	12	2	7	17	47	89	10	3	5	242	12
420	g	24	5	4	21	18	22	51	41	3	7	196	45
421	b	58	8	4	22	13	47	57	27	4	8	248	13
422	b	37	7	3	23	31	37	56	30	1	2	227	22
423	g	40	4	5	26	28	29	92	44	3	6	277	66
424	b	54	4	2	20	15	33	44	25	4	10	211	8
425	g	10	7	3	42	18	22	84	23	3	4	216	9
426	g	17	11	3	38	37	37	81	37	2	4	267	25
427	g	33	5	2	30	37	27	61	45	3	1	244	14
428	g	31	8	5	41	19	19	92	27	2	1	245	22
429	b	56	9	2	17	25	37	48	32	2	8	236	16
430	b	51	11	4	22	28	29	72	23	4	9	253	29
431	g	41	10	2	30	24	14	73	44	1	2	241	24
432	g	16	5	1	38	14	29	92	32	2	5	234	3
433	g	5	4	2	28	31	24	91	42	0	6	233	14
434	b	63	6	5	23	31	33	91	36	4	5	297	26
435	g	19	5	3	25	21	20	46	30	2	5	176	26
436	g	6	7	1	25	35	17	80	33	3	6	213	7
437	b	55	9	3	17	24	24	69	20	4	9	234	34
438	b	40	12	2	7	27	42	88	11	3	10	242	5
439	g	12	9	3	40	28	28	90	38	1	1	250	21
440	g	9	7	4	35	27	23	62	37	1	4	209	27
441	g	18	4	3	40	20	28	44	30	3	7	197	5
442	g	25	6	2	36	26	20	86	27	1	4	233	30
443	b	62	8	3	9	16	31	42	27	3	7	208	83
444	b	53	7	4	2	33	44	31	30	2	8	214	42
445	b	73	6	2	7	35	52	40	16	3	7	241	27
446	b	14	5	2	26	24	23	61	42	1	3	201	1
447	g	39	8	4	43	23	24	72	25	2	4	244	8
448	b	9	10	4	30	27	33	34	40	1	5	193	16
449	g	42	12	3	20	15	27	75	34	3	2	233	78
450	b	72	6	2	13	20	49	69	17	2	11	261	15
451	g	27	6	5	28	24	24	32	40	3	2	191	15
452	b	18	9	4	30	22	13	43	40	1	1	181	51
453	b	60	5	5	20	35	39	71	10	4	5	254	16
454	g	18	6	3	23	37	33	84	35	0	6	245	18
455	g	65	6	3	6	35	29	84	27	3	9	267	77
456	g	66	11	3	12	24	22	90	17	2	6	253	23
457	g	39	6	2	32	25	11	90	31	3	5	244	3
458	g	30	13	3	27	13	17	68	28	1	7	207	31
459	b	57	7	4	20	21	42	57	27	2	6	243	1
460	g	18	10	2	29	32	36	78	31	3	7	246	17
461	g	29	4	4	38	35	17	67	20	3	6	223	27
462	g	37	13	1	33	33	28	63	32	2	3	245	26
463	b	26	8	4	23	37	14	38	25	1	4	180	14
464	b	66	10	2	14	26	52	69	26	4	11	280	11
465	g	13	8	2	34	34	23	30	38	3	1	186	6
466	b	4	7	5	37	25	22	67	43	3	6	219	44
467	b	62	8	2	15	23	49	50	29	3	10	251	1
468	g	6	12	5	37	18	36	53	32	1	3	203	6
469	g	37	9	5	34	16	28	73	35	3	6	246	44
470	b	55	9	4	11	32	51	71	32	3	8	276	16
471	g	44	9	2	40	30	38	62	33	3	5	266	16
472	g	26	12	1	27	16	35	42	40	2	2	203	22
473	g	33	8	2	35	30	32	38	43	3	6	230	24
474	b	49	7	2	14	15	52	33	14	5	8	199	42
475	b	47	5	5	13	36	24	59	27	4	7	227	81
476	b	47	6	2	13	24	53	71	31	4	9	260	18
477	b	22	10	4	42	35	23	75	35	2	1	249	4
478	g	41	12	2	27	37	10	37	37	3	2	208	29
479	g	21	5	4	26	26	28	87	43	1	2	243	10
480	g	39	11	3	41	13	37	54	22	3	5	228	4
481	g	38	7	5	40	34	24	77	25	3	3	256	21
482	g	53	12	1	21	34	37	58	20	2	11	249	21
483	b	35	8	2	30	25	16	45	21	2	4	188	17
484	b	12	7	5	26	13	13	38	36	2	6	158	22
485	g	20	11	2	25	16	24	50	38	2	2	190	19
486	b	39	9	5	33	35	37	40	39	3	6	246	48
487	b	49	5	2	24	19	30	89	9	2	5	234	11
488	g	20	9	2	26	35	36	31	22	1	4	186	26
489	g	29	7	3	21	20	18	86	31	1	6	222	39
490	b	76	6	5	15	28	23	57	14	2	11	237	18
491	g	38	7	2	23	30	24	78	40	1	2	245	15
492	b	54	6	3	23	15	26	39	18	4	7	195	2
493	g	39	5	2	32	35	38	89	42	3	4	289	2
494	g	43	11	3	36	23	34	63	41	3	5	262	21
495	g	33	12	5	38	13	16	40	39	3	4	203	66
